workload,rw,bs,iodepth,numjobs,read_iops,read_MBps,read_p50_us,read_p99_us,read_p99_9_us,write_iops,write_MBps,write_p50_us,write_p99_us,write_p99_9_us
randread_4k_qd1,randread,4k,1,1,3957,15.46,183,257,7176,,,,,
randread_4k_qd32,randread,4k,32,4,81795,319.52,1303,2736,79167,,,,,
randwrite_4k_qd1,randwrite,4k,1,1,,,,,,3509,13.71,120,224,45875
randwrite_4k_qd32,randwrite,4k,32,4,,,,,,8184,31.98,8978,122159,429916
randrw_4k_70_30_qd32,randrw,4k,32,4,8899,34.77,3555,91750,434110,3823,14.93,428,31588,82313
seqread_1m_qd16,read,1m,16,1,765,765.57,19005,129499,350224,,,,,
seqwrite_1m_qd16,write,1m,16,1,,,,,,308,308.07,37487,278921,455082
